Aggregated sectors,Sector_Number,Sector_CodeName
Others,109,109/Other goods from rubber
Others,110,110/Plastics items 
Others,111,111/Glass and glassware 
Others,122,"122/Measuring instruments, photography, optics and clocks"
Others,128,128/Starting machine
Others,129,"129/Machinery for office and accounting purposes, and parts and equipment thereof"
Others,130,130/Other machines and equipments
Others,137,137/Non-metal home and office furnitures
Others,138,138/Jewelry
Others,139,139/Musical instruments 
Others,140,140/Sports equipment 
Others,141,141/Toys and games 
Others,142,142/Medical equipments
Others,143,143/Other processing industry products
Others,147,147/Water supply
Others,148,148/Waste and recycling management 
Others,154,154/Cars and motorcycles trade 
Others,156,156/Trade other than cars and motorcycles 
Others,166,166/Publication
Others,184,184/Repair of other household and personal items 
